x,y,Distance
Olomouc,Central Bohemian,0.0
Olomouc,South Bohemian,32.522194580748796
Olomouc,Plzeň,36.744067630190905
Olomouc,Karlovy Vary,0.0
Olomouc,Ústí nad Labem,0.0
Olomouc,Liberec,0.0
Olomouc,Hradec Králové,26.78722799550001
Olomouc,Olomouc,200.0
Olomouc,South Moravian,0.0
Olomouc,Vysočina,0.0
Olomouc,Pardubice,0.0
Olomouc,Zlín,0.0
Olomouc,Moravian-Silesian,0.0
Olomouc,Małopolskie,0.0
Olomouc,Śląskie,0.0
Olomouc,Wielkopolskie,0.0
Olomouc,Zachodniopomorskie,0.0
Olomouc,Lubuskie,0.0
Olomouc,Dolnośląskie,0.0
Olomouc,Opolskie,0.0
Olomouc,Kujawsko-Pomorskie,0.0
Olomouc,Warmińsko-Mazurskie,0.0
Olomouc,Pomorskie,0.0
Olomouc,Łódzkie,0.0
Olomouc,Świętokrzyskie,0.0
Olomouc,Lubelskie,0.0
Olomouc,Podkarpackie,0.0
Olomouc,Podlaskie,0.0
Olomouc,Mazowieckie,0.0
South Moravian,Prague,0.0
South Moravian,Central Bohemian,53.03578556210744
South Moravian,South Bohemian,0.0
South Moravian,Plzeň,0.0
South Moravian,Karlovy Vary,0.0
South Moravian,Ústí nad Labem,22.189498113702182
South Moravian,Liberec,0.0
South Moravian,Hradec Králové,0.0
South Moravian,Olomouc,0.0
South Moravian,South Moravian,200.0
South Moravian,Vysočina,0.0
South Moravian,Pardubice,0.0
South Moravian,Zlín,0.0
South Moravian,Moravian-Silesian,0.0
South Moravian,Małopolskie,0.0
South Moravian,Śląskie,0.0
South Moravian,Wielkopolskie,0.0
South Moravian,Zachodniopomorskie,38.97331475765011
South Moravian,Lubuskie,41.05904198094456
South Moravian,Dolnośląskie,0.0
South Moravian,Opolskie,0.0
South Moravian,Kujawsko-Pomorskie,20.253857011960545
South Moravian,Warmińsko-Mazurskie,42.02528587765999
South Moravian,Pomorskie,24.023926832972307
South Moravian,Łódzkie,0.0
South Moravian,Świętokrzyskie,30.591283467605074
South Moravian,Lubelskie,23.200672715596244
South Moravian,Podkarpackie,0.0
South Moravian,Podlaskie,52.506070370767
South Moravian,Mazowieckie,0.0
Vysočina,Prague,0.0
Vysočina,Central Bohemian,0.0
Vysočina,South Bohemian,0.0
Vysočina,Plzeň,23.534164817630824
Vysočina,Karlovy Vary,0.0
Vysočina,Ústí nad Labem,0.0
Vysočina,Liberec,0.0
Vysočina,Hradec Králové,24.34679679235273
Vysočina,Olomouc,0.0
Vysočina,South Moravian,0.0
Vysočina,Vysočina,200.0
Vysočina,Pardubice,38.04871111140628
Vysočina,Zlín,0.0
Vysočina,Moravian-Silesian,0.0
Vysočina,Małopolskie,0.0
Vysočina,Śląskie,0.0
Vysočina,Wielkopolskie,0.0
Vysočina,Zachodniopomorskie,0.0
Vysočina,Lubuskie,0.0
Vysočina,Dolnośląskie,0.0
Vysočina,Opolskie,0.0
Vysočina,Kujawsko-Pomorskie,0.0
Vysočina,Warmińsko-Mazurskie,0.0
Vysočina,Pomorskie,0.0
Vysočina,Łódzkie,0.0
Vysočina,Świętokrzyskie,0.0
Vysočina,Lubelskie,0.0
Vysočina,Podkarpackie,0.0
Vysočina,Podlaskie,0.0
Vysočina,Mazowieckie,0.0
Pardubice,Prague,0.0
Pardubice,Central Bohemian,0.0
Pardubice,South Bohemian,0.0
Pardubice,Plzeň,21.262627406066613
Pardubice,Karlovy Vary,0.0
Pardubice,Ústí nad Labem,0.0
Pardubice,Liberec,0.0
Pardubice,Hradec Králové,30.86976579975664
Pardubice,Olomouc,0.0
Pardubice,South Moravian,0.0
Pardubice,Vysočina,38.04871111140628
Pardubice,Pardubice,200.0
Pardubice,Zlín,43.439739209947795
Pardubice,Moravian-Silesian,0.0
Pardubice,Małopolskie,0.0
Pardubice,Śląskie,0.0
Pardubice,Wielkopolskie,0.0
Pardubice,Zachodniopomorskie,0.0
Pardubice,Lubuskie,0.0
Pardubice,Dolnośląskie,0.0
Pardubice,Opolskie,0.0
Pardubice,Kujawsko-Pomorskie,0.0
Pardubice,Warmińsko-Mazurskie,0.0
Pardubice,Pomorskie,0.0
Pardubice,Łódzkie,0.0
Pardubice,Świętokrzyskie,0.0
Pardubice,Lubelskie,0.0
Pardubice,Podkarpackie,0.0
Pardubice,Podlaskie,0.0
Pardubice,Mazowieckie,0.0
Zlín,Prague,0.0
Zlín,Central Bohemian,23.497505245930235
Zlín,South Bohemian,97.76624628089897
Zlín,Plzeň,33.31700055464466
Zlín,Karlovy Vary,0.0
Zlín,Ústí nad Labem,28.472722298675635
Zlín,Liberec,54.460018622728455
Zlín,Hradec Králové,86.3583343147161
Zlín,Olomouc,0.0
Zlín,South Moravian,0.0
Zlín,Vysočina,0.0
Zlín,Pardubice,43.439739209947795
Zlín,Zlín,200.0
Zlín,Moravian-Silesian,0.0
Zlín,Małopolskie,0.0
Zlín,Śląskie,0.0
Zlín,Wielkopolskie,0.0
Zlín,Zachodniopomorskie,39.26352599092713
Zlín,Lubuskie,34.923056038437906
Zlín,Dolnośląskie,0.0
Zlín,Opolskie,0.0
Zlín,Kujawsko-Pomorskie,23.025416728094147
Zlín,Warmińsko-Mazurskie,54.00482991635015
Zlín,Pomorskie,0.0
Zlín,Łódzkie,0.0
Zlín,Świętokrzyskie,0.0
Zlín,Lubelskie,0.0
Zlín,Podkarpackie,0.0
Zlín,Podlaskie,0.0
Zlín,Mazowieckie,0.0
Moravian-Silesian,Prague,0.0
Moravian-Silesian,Central Bohemian,0.0
Moravian-Silesian,South Bohemian,0.0
Moravian-Silesian,Plzeň,0.0
Moravian-Silesian,Karlovy Vary,0.0
Moravian-Silesian,Ústí nad Labem,0.0
Moravian-Silesian,Liberec,0.0
Moravian-Silesian,Hradec Králové,0.0
Moravian-Silesian,Olomouc,0.0
Moravian-Silesian,South Moravian,0.0
Moravian-Silesian,Vysočina,0.0
Moravian-Silesian,Pardubice,0.0
Moravian-Silesian,Zlín,0.0
Moravian-Silesian,Moravian-Silesian,200.0
Moravian-Silesian,Małopolskie,0.0
Moravian-Silesian,Śląskie,0.0
Moravian-Silesian,Wielkopolskie,0.0
Moravian-Silesian,Zachodniopomorskie,0.0
Moravian-Silesian,Lubuskie,0.0
Moravian-Silesian,Dolnośląskie,0.0
Moravian-Silesian,Opolskie,0.0
Moravian-Silesian,Kujawsko-Pomorskie,0.0
Moravian-Silesian,Warmińsko-Mazurskie,0.0
