,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL84 - Podlaskie,215.17503214852593,422.38588417941884,327.4252101585984,200.63515488380608,215.12672575102727,379.1666690880855,172.44457209458602,211.0144379934937,214.26131860504537,270.48504786048323,191.97288735066707,155.36852001919056,103.89767043530429,144.92571024570833,0.0,299.0087945790503,677.1365326714105,890.0144354695252,672.5562944815115,1125.3968739614886,1019.1433443360979,659.0069211920174,898.457308101526,1099.6699856360103,845.0977352317383,653.2247225969625,582.4057665162933,757.0806675086963,958.3343323797092,880.5572055367492,309.82784105503094,326.95710037271675,298.4646996804936,412.46919099723317,350.43205231515867,321.13831823794976,285.31214783866824,491.9511327255548,442.40158402444115,370.76227749809016,429.1541191550276,575.047221083036,511.3196315064507,339.05514133334935,262.6865012306275,306.5328751611911,734.7287851202839,515.677371011226,350.66175315353155,325.3419289349837,374.1548043185809
PL9 - Mazowieckie,257.4985846240023,362.1658270104473,304.2474843418697,208.350196357164,197.02641729715467,325.3470341710945,293.94200475988646,162.9881123967231,194.29466059108563,127.55841501953515,164.6083007688915,185.0355191352137,298.74194112654055,164.45644226585404,299.0087945790503,0.0,620.6444517859215,799.9091428521086,615.748620331934,1068.9047930759998,1022.9842387784646,554.5557302494933,841.9652272160371,1094.7391598721233,816.6617500358536,648.2938968330756,577.4749407524064,700.272993359119,901.5266582301317,875.6263797728623,301.61518863615277,272.2843054689342,234.6315508494721,371.7465272827949,290.8922576406377,310.2084462859119,262.0891611729216,468.7281460598082,419.1785973586945,391.60806769742317,421.1023662958677,570.1163953191491,506.3888057425638,323.5634694961178,283.971926357853,251.75367464384834,719.2371132830524,448.82542320464813,327.4387664877849,354.7339006458069,375.9095520316688
CZ010 - Prague,727.7419402846439,699.2495399104534,698.3789509458688,703.7043727583829,607.9771256293353,695.2759643770934,760.6109505496295,645.6858305949158,618.943512927875,578.5511512589997,715.5593057946376,736.8089485665732,732.4616673876882,661.5465545040375,677.1365326714105,620.6444517859215,0.0,286.833745375272,511.1705990629963,448.26034129007814,682.3556316442845,282.51145909750744,453.71575921450653,589.4109877692624,411.1123324753506,600.7052241816373,297.1985158400397,374.15896139424626,513.3590538576503,381.3878669509395,637.8434771394654,671.2863481247877,716.5316028977907,653.9280332371623,661.0352084415006,719.8104056627258,687.7070847491633,676.8062616747344,720.6827406248997,793.4418661598249,771.2440926927409,666.5818701118675,703.8299277345352,682.7441114733368,721.1652919964882,688.2726774234461,726.0509768079415,739.4149275143536,716.3716900786421,736.111441981769,712.2583360631694
CZ020 - Central Bohemian,912.3168887716408,880.3082121786485,908.024389596434,930.015739250689,810.9471103455687,887.4396942659371,961.4187301890483,835.5524048782431,676.3449360280924,759.6671409450371,916.9133872529745,947.2033276586288,965.6581542274981,858.5732995657238,890.0144354695252,799.9091428521086,286.833745375272,0.0,378.6597934340101,268.99565022389106,595.1357235128892,245.35341260261532,186.77687622064366,493.97015658141527,190.6053094614266,497.34456346589695,457.99213659667225,496.9515219366002,667.7097573920546,612.6588144942069,812.6483396373524,886.8403178298198,858.3181870670801,875.197128658097,851.4506496914325,923.5840857746796,780.8124811194559,938.8784031130516,838.6060886963058,986.0167578972288,986.7322970124576,884.2923710849216,758.4713401905142,810.1427937653814,890.7039637725325,891.8319167448167,780.6923892639205,921.2432955462475,813.4494608209359,790.7528544377479,766.8997485191484
CZ031 - South Bohemian,642.640819945574,654.9386351219006,638.3483207703671,660.3396704246221,617.6048042753326,682.3470671496337,691.7426613629814,565.8763360521763,674.7849634874635,634.3926018185881,647.2373184269077,677.527258832562,695.9820854014313,588.897230739657,672.5562944815115,615.748620331934,511.1705990629963,378.6597934340101,0.0,647.6554436579012,756.3495922934397,228.65913996548886,420.71587779793856,630.0450699156435,367.35630492815085,245.80861956061415,292.26049872367435,258.1351758530882,409.76385830779793,396.8864680897862,693.6849276990539,727.1277986843761,772.3730534573791,708.0907532553862,618.6094000976763,752.8271559458088,743.5485353087518,733.8120743256547,784.0673384610087,762.7918459536864,777.3559075225685,722.4233206714559,759.6713782941235,738.5855620329253,788.7289769855472,744.1141279830346,781.89242736753,807.6765833430435,819.7383960489665,791.9528925413574,770.2886436617242
CZ032 - Plzeň,1176.002281574722,1147.5098812005315,1146.6392922359469,1151.964714048461,1056.2374669194135,1143.5363056671715,1208.8712918397077,1093.9461718849939,936.9713549486619,1021.1048892130486,1163.8196470847156,1185.0692898566515,1180.7220086777663,1109.8068957941157,1125.3968739614886,1068.9047930759998,448.26034129007814,268.99565022389106,647.6554436579012,0.0,552.619796262512,514.3490628265064,309.5025235901379,623.8515235086879,345.77411367241825,766.340213689788,726.9877868205633,765.9471721604913,918.5262400531199,829.6482082410176,1028.812791177255,1105.069764259829,1095.343007401502,1102.1883745272405,1109.2955497315786,1168.070746952804,966.3823223125382,1125.0666029648125,1073.2713527757796,1241.702207449903,1219.5044339828191,1083.9688321029107,877.161750607022,951.1440713183167,1159.6996139964235,1127.9352489074092,887.8445319214113,1139.618271906721,1041.5128942072233,893.7213042852113,965.4388346105391
CZ041 - Karlovy Vary,1077.0278559810633,1063.288802378056,1040.7426498559205,1014.1902309414418,1016.4063584250803,1059.0789519556122,1067.1688595699322,977.0348992517676,961.4177416836562,982.3733886886201,1055.3707134530935,1069.481907731912,1050.7675749269786,1067.3705008941874,1019.1433443360979,1022.9842387784646,682.3556316442845,595.1357235128892,756.3495922934397,552.619796262512,0.0,752.5876256618101,546.727596541161,441.899806705199,550.1043222566832,828.6647904556849,788.5541523819621,774.0439882723033,875.3153013768829,841.4927674783314,995.9391176481801,985.5831684392958,1023.6409243576854,949.3539118014585,1007.8399434436667,1006.0928173697351,872.7239866582674,954.8965401605165,988.9280214216953,1098.0168830153475,1049.334371178523,913.7987692986146,819.4074888522812,891.3004413310287,1007.9481354772232,1024.915770419486,925.5279864666575,969.4482091024248,939.6442238853358,897.1431115367961,948.3937035793101
CZ042 - Ústí nad Labem,667.8544292993304,635.8457527063381,663.5619301241236,685.5532797783785,566.4846508732583,642.9772347936266,716.9562707167379,591.0899454059327,560.8782334599082,525.0464814741667,672.4509277806641,702.7408681863184,721.1956947551877,614.1108400934133,659.0069211920174,554.5557302494933,282.51145909750744,245.35341260261532,228.65913996548886,514.3490628265064,752.5876256618101,0.0,341.9431404530948,640.5241119400362,321.4978067165083,327.90738648930187,277.96489387969234,251.5981093339849,427.896148112554,422.8931351115356,568.1858801650419,642.3778583575094,671.7890788602597,663.3996567388616,643.9801758309353,679.1216263023691,601.4304250943954,759.8187413474042,728.3565010066176,766.4424172914114,759.8436358751413,689.0981164621916,664.6603195827129,631.705075695331,733.0181395311561,650.3594696102215,721.0318013375966,751.9657458886524,764.0275585945753,712.5432788050522,714.5778062073331
CZ051 - Liberec,949.0627157147594,920.5703153405689,919.6997263759844,925.0251481884984,829.2979010594509,916.5967398072089,981.9317259797451,867.0066060250313,710.0317890886993,794.165323353086,936.8800812247531,958.1297239966889,953.7824428178037,882.8673299341531,898.457308101526,841.9652272160371,453.71575921450653,186.77687622064366,420.71587779793856,309.5025235901379,546.727596541161,341.9431404530948,0.0,420.42307416336473,99.65185136126843,539.4006478298254,500.0482209606007,539.0076063005287,691.5866741931573,602.708642381055,801.8732253172923,878.1301983998665,868.4034415415395,875.2488086672779,882.355983871616,941.1311810928413,765.2702852422476,923.3362072358433,846.331786915817,1014.7626415899405,992.5648681228565,868.7501752077133,767.0401562085906,794.6005978881731,932.7600481364609,900.9956830474466,789.2612052819969,912.6787060467583,814.5733283472607,799.3216704558243,775.4685645372248
CZ052 - Hradec Králové,1179.9567001626335,1138.5560822394837,1046.5934804228107,958.3476585680887,1085.879890991065,1143.0076398881108,1134.9414648586887,937.8948860931898,945.328719880488,982.902947471773,1083.4816701074794,1180.3502828491526,1120.8045975443897,1132.6857123212442,1099.6699856360103,1094.7391598721233,589.4109877692624,493.97015658141527,630.0450699156435,623.8515235086879,441.899806705199,640.5241119400362,420.42307416336473,0.0,447.0009711882743,702.3602680778886,662.2496300041659,647.739465894507,782.469098122627,715.1882451005351,1010.9137846466297,963.2360403027021,973.4780561389437,939.3279948086363,979.5348300548865,974.4536914724316,935.0407892804336,931.4495474844402,968.01644515617,1048.0851519695307,1025.8873785024468,913.9155746431378,951.1636322658055,930.0778160046071,1101.799849469735,1007.174922405641,973.3846813392119,986.7486320456239,963.7053946099124,1011.5020539791226,1039.6010338432777
CZ053 - Pardubice,901.8792903263638,867.2107424707813,866.3401535061967,871.6655753187107,807.8024811547951,864.9302300518411,928.5721531099573,813.6470331552437,667.2513100442184,740.8057504832984,883.5205083549654,904.770151126901,900.422869948016,854.6083024849744,845.0977352317383,816.6617500358536,411.1123324753506,190.6053094614266,367.35630492815085,345.77411367241825,550.1043222566832,321.4978067165083,99.65185136126843,447.0009711882743,0.0,486.0410749600377,446.688648090813,485.64803343074095,638.2271013233695,549.3490695112673,748.5136524475046,824.7706255300787,815.0438686717516,821.8892357974901,828.9964110018284,887.7716082230536,706.6534717283296,864.7193937219253,834.0144488983949,961.4030687201528,939.2052952530687,810.1333616937952,770.3182674744902,737.3630235871083,879.4004752666732,847.636110177659,826.689749229374,859.3191331769706,869.6855064863528,818.2012266968295,820.2357540991104
CZ063 - Vysočina,733.5114371235858,692.1108192004358,600.1482173837628,655.6454757092841,666.1132972115402,696.5623768490631,688.496201819641,491.449623054142,646.2708092980849,567.5258578435723,637.0364070684317,733.9050198101049,674.359334505342,686.2404492821963,653.2247225969625,648.2938968330756,600.7052241816373,497.34456346589695,245.80861956061415,766.340213689788,828.6647904556849,327.90738648930187,539.4006478298254,702.3602680778886,486.0410749600377,0.0,363.02171507430836,307.96666561226493,426.4952783486185,278.7253590295513,643.9464338060407,703.1421718524956,760.9678919621389,726.1994016911256,565.7664957749647,673.1679040428546,671.1823267594805,617.236669979575,838.102723961825,728.898837064107,866.7893893777463,770.1779099498269,800.8203947854989,732.1309081491336,840.5444461356464,752.0123313923798,798.8978709602683,832.3442412962519,862.1662684544365,750.8273419339429,752.8618693362238
CZ064 - South Moravian,662.6924810429166,621.2918631197666,529.3292613030937,514.3441627336726,568.6156718713479,625.7434207683939,617.6772457389718,420.63066697347284,537.1999296042561,496.8075679353808,566.2174509877625,663.0860637294356,603.5403784246728,615.4214932015271,582.4057665162933,577.4749407524064,297.1985158400397,457.99213659667225,292.26049872367435,726.9877868205633,788.5541523819621,277.96489387969234,500.0482209606007,662.2496300041659,446.688648090813,363.02171507430836,0.0,222.10940691039218,423.363071781405,346.3863793283589,556.0998938158466,589.5427648011688,634.7880195741718,570.5057193721789,481.02436621446896,615.2421220626015,605.9635014255445,525.6336249734225,638.9391573012808,625.2068120704791,639.7708736393612,584.8382867882486,622.0863444109164,601.000528149718,639.4217086728694,606.5290940998273,644.3073934843227,657.6713441907348,634.6281067550233,654.3678586581501,630.5147527395505
CZ071 - Olomouc,674.1449817075335,739.4630081490855,693.9055406984706,736.4535696440648,702.1291773025175,766.8714401768186,629.1297464035887,627.9927519410048,759.3093365146483,718.916974845773,683.6051883989144,689.1912476827831,716.9743221922901,647.0192573071356,757.0806675086963,700.272993359119,374.15896139424626,496.9515219366002,258.1351758530882,765.9471721604913,774.0439882723033,251.5981093339849,539.0076063005287,647.739465894507,485.64803343074095,307.96666561226493,222.10940691039218,0.0,204.32686383405348,310.60822946866654,778.2093007262388,811.652171711561,856.897426484564,792.615126282571,703.1337731248611,837.3515289729937,828.0729083359366,747.7430318838146,861.048564211673,847.3162189808713,861.8802805497534,806.9476936986408,844.1957513213085,823.1099350601102,861.5311155832616,828.6385010102194,866.4168003947149,879.780751101127,856.7375136654155,876.4772655685423,852.6241596499427
CZ072 - Zlín,869.6326160291035,940.7166730200983,895.1592055694834,937.7072345150777,903.3828421735303,968.1251050478314,826.6534576057675,829.2464168120175,960.5630013856612,920.1706397167858,884.8588532699272,890.444912553796,918.2279870633029,848.2729221781484,958.3343323797092,901.5266582301317,513.3590538576503,667.7097573920546,409.76385830779793,918.5262400531199,875.3153013768829,427.896148112554,691.5866741931573,782.469098122627,638.2271013233695,426.4952783486185,423.363071781405,204.32686383405348,0.0,461.8968656467837,979.4629655972516,1012.9058365825738,1058.151091355577,993.8687911535839,904.3874379958739,1038.6051938440064,1029.3265732069494,948.9966967548274,1062.3022290826857,1048.569883851884,1063.1339454207662,1008.2013585696536,1045.4494161923212,1024.363599931123,1062.7847804542744,1029.8921658812321,1067.6704652657277,1081.0344159721399,1057.9911785364282,1077.730930439555,1053.8778245209555
CZ080 - Moravian-Silesian,960.8439200633725,919.4433021402225,827.4807003235496,709.6088548870398,866.7671108918038,923.8948597888498,915.8286847594277,718.7821059939288,726.215939781227,763.790167372512,864.3688900082184,961.2375027498915,901.6918174451287,913.572932221983,880.5572055367492,875.6263797728623,381.3878669509395,612.6588144942069,396.8864680897862,829.6482082410176,841.4927674783314,422.8931351115356,602.708642381055,715.1882451005351,549.3490695112673,278.7253590295513,346.3863793283589,310.60822946866654,461.8968656467837,0.0,791.8010045473686,744.1232602034411,754.3652760396826,720.2152147093752,760.4220499556254,644.1213323759803,652.0686305900476,520.7923399816538,645.8858928273619,781.3419945192345,633.7311869646043,560.0795178518927,583.5525505455375,642.7596466700129,882.687069370474,788.06214230638,638.561193158341,731.1337595086688,727.163190834073,792.3892738798615,820.4882537440167
SE110 - Stockholm,370.80024958058453,331.46432585155196,260.5174061177149,232.5529845710989,257.7333690829473,315.3828529827524,294.0666107680299,248.87772460657487,276.6837047385187,256.37568123782955,291.21780922240134,381.6665017408109,302.32273874264564,380.95969596121745,309.82784105503094,301.61518863615277,637.8434771394654,812.6483396373524,693.6849276990539,1028.812791177255,995.9391176481801,568.1858801650419,801.8732253172923,1010.9137846466297,748.5136524475046,643.9464338060407,556.0998938158466,778.2093007262388,979.4629655972516,791.8010045473686,0.0,103.71824257674291,263.3746823168307,340.4469481541972,216.76286728354683,147.67967217138838,175.69800540962348,271.00866456571487,218.0083859804062,244.38301726147353,308.59681393768847,486.29102009365545,422.5634305170702,215.37050188725496,302.69297067264625,191.28425968612135,432.56354590858734,278.93659690784733,218.2198346483959,253.28989571482666,259.5964103913712
SE121 - Uppsala,354.9633541932547,302.56361446669996,241.01512617275472,230.88169166675803,261.43727672022874,292.2499315964175,279.67734886249906,260.6680284201733,312.6024210661466,283.623261249557,256.18515941043233,332.2303926835442,282.77788252103653,341.7731685916232,326.95710037271675,272.2843054689342,671.2863481247877,886.8403178298198,727.1277986843761,1105.069764259829,985.5831684392958,642.3778583575094,878.1301983998665,963.2360403027021,824.7706255300787,703.1421718524956,589.5427648011688,811.652171711561,1012.9058365825738,744.1232602034411,103.71824257674291,0.0,174.51984523241077,249.36477344147858,156.6889683204547,140.39001870872505,147.37634035038462,226.09613561558842,190.14949551544365,277.95325076175845,217.70738544616574,438.61327574972785,374.8856861731426,167.94251899216036,208.02247457570138,153.55127768316194,446.95280781411816,188.7202706385092,189.60312726388327,277.793469595671,275.33258838252345
SE122 - Södermanland,282.83578689929124,359.9030836642945,301.98474099571695,224.40287791239876,244.02203677964894,323.0842908249417,291.6792614137337,336.5647031980943,277.77457428744617,242.66434893453118,296.1021004163117,242.2919542285913,256.64039179577196,282.06755537716043,298.4646996804936,234.6315508494721,716.5316028977907,858.3181870670801,772.3730534573791,1095.343007401502,1023.6409243576854,671.7890788602597,868.4034415415395,973.4780561389437,815.0438686717516,760.9678919621389,634.7880195741718,856.897426484564,1058.151091355577,754.3652760396826,263.3746823168307,174.51984523241077,0.0,206.90954996266544,195.3233478373871,292.96301012718726,176.3294804440195,236.57596618495558,187.0264174838419,346.58478246954246,303.78876343552565,448.8552915859694,385.1277020093841,220.90859175783052,132.65079643573523,138.71591144722285,616.582235544765,289.3591931496445,143.95963985433815,313.0684962983548,251.01019347602454
SE123 - Östergötland,366.35371874288967,438.4990307034882,380.5806880349106,342.5824750262638,381.13701321297174,401.6802378641354,370.27520845292736,368.4710706542926,400.08734886854313,379.77932536785397,342.7313047113014,375.1196392041946,378.13438502091196,419.1825318104832,412.46919099723317,371.7465272827949,653.9280332371623,875.197128658097,708.0907532553862,1102.1883745272405,949.3539118014585,663.3996567388616,875.2488086672779,939.3279948086363,821.8892357974901,726.1994016911256,570.5057193721789,792.615126282571,993.8687911535839,720.2152147093752,340.4469481541972,249.36477344147858,206.90954996266544,0.0,276.6182275441812,356.72387118103194,233.40205696011628,234.42852794458304,263.31642987235267,367.2866162615104,247.60050831178287,460.1907898572948,367.24398614480015,245.18464873322762,202.86926137649,214.977725443363,640.8582925201622,363.5350217617421,217.64293140310804,285.04053816812217,233.85943808531363
