,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL71 - Łódzkie,13.44763366539612,15.073138141006174,11.409964262291007,12.931996257655621,11.416251848102753,12.690341082596545,10.090471740691347,14.593820009658812,13.554807979359571,12.699745720022014,0.0,10.410375342292365,11.35565352709296,12.0941105824537,14.283041582276816,12.720616129083963,34.77762529716189,61.33943508731476,49.095441595424056,61.966238858935085,57.33765754159777,44.298748756550246,68.5736113463251,83.48412593711059,63.99510348090048,49.71380470984221,34.63756897044252,41.772297104480536,44.299889776978844,47.46923872943501,19.109093684316175,18.991592291083677,20.376242552217953,20.55637231758799,18.884317614292346,19.74512447411002,27.440339045657247,21.985647271611167,18.693092925070683,19.01770642966566,15.1214344781058,30.083072269207488,28.327042894390573,26.66356026613025,15.83937891215639,15.427698213585813,27.49295800207931,22.978329094113782,22.150380038961185,18.513720281963373,23.66805478612343
PL72 - Świętokrzyskie,11.468155953186004,15.315068295601101,14.756736941782174,15.647407482673609,12.812576030918777,12.278414786993359,11.537144103614848,21.79914490627854,20.421504050184783,18.16818262769996,10.410375342292365,0.0,12.797611300760671,10.27827800545755,13.799934132091202,15.141691968772264,41.57039068494482,65.54156487339284,55.67477692432279,69.58130519168245,66.70241289224137,51.471748075310636,72.69077960374027,86.79826205313789,67.82031960836575,51.1360550921805,41.804046371454156,46.36918379268674,51.29289589352209,47.518133617344624,25.1235402314227,26.18952466244198,23.098999264965926,28.44768036355524,24.908329288215498,22.376382545435003,23.918755560305073,28.20019286653776,23.554938399463435,15.917005698718567,13.041699635177482,34.0184730683479,35.178652697238505,28.114937661009314,16.07994986526234,17.134766866051137,30.88452941305225,30.838426650613638,27.91204033751725,20.12516871485699,30.803111023313086
PL81 - Lubelskie,13.866833619349364,19.889277337084973,15.309060833217362,9.743778157903412,12.856660964305238,15.382292586292431,10.877468514512964,15.144320857267802,16.798062268946218,14.265248349742171,11.35565352709296,12.797611300760671,0.0,10.87892707542097,8.927164005288134,14.497981168193661,44.43843579939923,53.67117468882266,47.73602214743915,60.383044955418974,61.17100731687761,41.93858977489842,61.15366390644975,78.0709170210895,58.60958671438961,43.36822756776955,34.3896375803071,40.462694029696245,45.353624829534105,40.69018605174892,21.02478929562194,24.734107429566247,24.44111772889218,26.685791317636436,23.85658215602053,16.134927325185828,32.333375851648064,25.82747285706576,25.945612068868943,15.138648993770202,16.314368736166944,26.303303662008073,29.419766143752543,31.535256606482417,15.33071937428063,18.263799964410527,34.23664463668736,28.678744075970847,25.20755506707227,20.397777493677175,30.95881166212849
PL82 - Podkarpackie,9.869183699591256,16.14493315867859,13.770003526686727,12.464589041882054,13.264988059316734,13.22255381665382,10.157909621872419,18.07134276288411,16.131273921132976,18.257183598755528,12.0941105824537,10.27827800545755,10.87892707542097,0.0,13.198359137621217,15.808949102830159,40.33494043737854,59.018086988680786,49.6514433446718,64.85464928753154,62.04177701277059,49.02278079715666,63.978428281170004,80.37071274798943,62.32290660862353,49.085656192589695,35.88067465697797,45.48793796093902,47.54891892962817,47.39448311142127,23.320219130115312,23.15615942172628,23.858177467542664,30.17220009423255,22.437955894585915,20.577872211999086,24.651184019928674,24.736984682047048,21.489482451201393,17.288792701022043,12.997936488478244,28.953924873824068,33.65466052154988,29.54318178639778,17.732086628214425,18.889907495561012,30.085586565431562,27.774639825646613,27.534338949523182,20.70123956579398,29.941499560156952
PL84 - Podlaskie,17.610320360386886,23.234606351199172,18.643067255437675,10.424022031034982,12.767625090239145,19.051569952911326,14.453025596217755,15.382238657723049,15.736372439764791,14.533563809183548,14.283041582276816,13.799934132091202,8.927164005288134,13.198359137621217,0.0,16.208927251895204,46.00733873260445,59.69214260605277,48.11592067418911,65.91235607702403,62.465598069461905,45.44229723005935,66.91893970454183,83.08562942136619,63.989742600647446,44.30164576871692,33.83397475411654,40.1613129742874,47.79780521729132,40.323783042974924,22.994765583452125,24.19082233738999,24.51537822030098,26.60590324326094,25.295278804891296,18.257981171522502,27.69079659487278,28.281758794532024,24.809667532801853,16.425483926636716,15.523957519580684,27.297298622204945,29.667031890366225,29.82768365514123,17.34465797112744,20.068242973447482,36.879113957798104,31.424363733964288,26.06168504187209,17.60019126154166,29.448620822319405
PL9 - Mazowieckie,14.459317784871134,17.131511293078095,13.613702239298354,13.777935975738332,11.507201781658049,15.096167566841034,15.025050153818478,14.002229448348526,15.151613227812481,12.412960798664354,12.720616129083963,15.141691968772264,14.497981168193661,15.808949102830159,16.208927251895204,0.0,33.39612222082165,47.98404312131707,44.79775262910646,54.455510922069465,45.459065007505764,40.46266097411693,51.19561388385565,73.01538946038274,51.61572512242181,42.60934571880848,29.933636344076632,40.16203872022969,44.659151902697495,39.76505058872789,23.269787517430174,19.523751030247443,17.799971116382988,19.766191874795144,18.969466483411875,24.12035718459721,30.956039671120134,19.453720523101815,14.360643476441844,22.62195064873017,17.671914521307706,25.394026805482127,22.013746322341245,28.743844630118907,14.78080333135419,15.622607332213954,27.363416801445826,22.245937577044533,22.39523898354417,16.977290387600693,25.06221738873028
CZ010 - Prague,40.93724574395274,30.093881984038596,28.030782771796993,37.05034362465499,32.76619700875384,28.73311971400466,37.328862248662574,32.01988645075688,34.28360124427305,29.014644897120256,34.77762529716189,41.57039068494482,44.43843579939923,40.33494043737854,46.00733873260445,33.39612222082165,0.0,27.335737977481564,23.755037864196566,34.20500750934631,38.220139567041024,21.14869904493405,33.306942067424316,43.65050979281262,28.959523705780757,29.50439518129533,22.75633289346123,24.28906661659909,35.802923430378755,31.300784744544163,38.96340111008283,36.493985884777594,38.363817348644304,37.39021905954046,33.36773765469569,45.9457920777604,44.07964259631203,34.33494788082033,32.43047933127864,40.69757611920913,35.82114079455375,35.19010410836484,30.17970832628702,37.79337660809763,43.25315462928814,33.1569338118013,32.351827405589624,28.87569622878807,40.54975631824904,36.335323849348455,42.12611762895377
CZ020 - Central Bohemian,61.0384247687682,49.15439031629281,46.97411045418979,53.95960580255292,51.74008527806335,48.06139498950737,54.01238893574595,47.14977611896949,52.12442342171957,44.5116628217307,61.33943508731476,65.54156487339284,53.67117468882266,59.018086988680786,59.69214260605277,47.98404312131707,27.335737977481564,0.0,25.440215338477422,26.549497453741115,27.94209762286668,30.811838360859564,18.61922743005114,32.233784501851034,20.192337264220235,34.25549734916902,30.45844426674448,31.078654297513456,35.363305931404234,31.92180328702436,61.52807130697237,58.365790377834735,55.18695777747406,55.33701133277939,52.09174674870561,61.96713134519985,55.57556073330969,49.8650964912065,45.45539428166687,51.737502717019666,53.8933570464684,39.79155614948681,35.50758360095117,56.20689849466388,58.43470819380993,55.18901247516702,45.91670474602898,43.13506691322103,57.858067248147925,52.61187910999352,59.341277046778764
CZ031 - South Bohemian,50.39143875092132,39.29038890863752,37.367261199322584,44.062477872139965,40.36874845111647,37.7862427256295,47.151810357165196,36.1630038365629,40.974575757377416,37.05266006653664,49.095441595424056,55.67477692432279,47.73602214743915,49.6514433446718,48.11592067418911,44.79775262910646,23.755037864196566,25.440215338477422,0.0,35.996150089883166,41.002406300306895,20.90506687544057,27.7654924572819,36.115548502735045,29.5291805899736,23.443068284390467,23.355530520884983,21.494910769127678,32.09833879496731,28.980773254394467,47.43843482810044,48.23027487069222,51.002512658826646,48.169731300499336,44.47360369901045,51.72941836275107,46.33818237840007,40.81891170429216,37.62230084467008,44.85553369326263,45.02372092984398,38.28100098333832,31.791299632941506,45.94864583537909,48.949915516907296,45.79032741264052,30.962045924295037,34.82261226086653,48.15751580341584,43.423214098131716,49.6865681573068
CZ032 - Plzeň,66.06122174329175,48.81333478266972,48.87990909572852,60.3304372241954,51.973242601102726,48.70248315286477,60.97467924219074,49.60555466277345,55.01472529451248,48.60718933014255,61.966238858935085,69.58130519168245,60.383044955418974,64.85464928753154,65.91235607702403,54.455510922069465,34.20500750934631,26.549497453741115,35.996150089883166,0.0,28.736285391761143,31.737942594549676,28.109775751311503,27.193541700593105,29.08685958068748,40.95576401232871,33.552859231206945,33.683869097904356,36.527191251330905,30.580304271438077,66.25480643743818,59.95524938863598,61.99961833966491,57.488419876950154,52.906819907846796,67.18107273970945,60.772087840420305,55.54215294036323,49.01269063202073,54.58280050323106,60.31760650211586,43.57895414485339,39.17595087607615,63.0252957797507,63.54539490670507,57.672422058695325,50.75458251183535,48.292915060364784,60.4108201190815,58.191071286430336,66.78758616796563
